name,type,category,power,accuracy,PP,effect,effectProbability
Black Hole Eclipse,Dark,,—,—,1,Dark type Z-Move.,—
Blast Burn,Fire,special,150,90,5,User must recharge next turn.,—
Blaze Kick,Fire,physical,85,90,10,High critical hit ratio. May burn opponent.,10
Blazing Torque,Fire,physical,80,100,10,May burn the opponent.,—
Bleakwind Storm,Flying,special,100,80,10,May lower opponent's Speed.,—
Blizzard,Ice,special,110,70,5,May freeze opponent.,10
Block,Normal,status,—,—,5,Opponent cannot flee or switch.,—
Blood Moon,Normal,special,140,100,5,Cannot be used twice in a row.,—
Bloom Doom,Grass,,—,—,1,Grass type Z-Move.,—
Blue Flare,Fire,special,130,85,5,May burn opponent.,20
Body Press,Fighting,physical,80,100,10,"The higher the user's Defense, the stronger the attack.",—
Body Slam,Normal,physical,85,100,15,May paralyze opponent.,30
Bolt Beak,Electric,physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",—
Bolt Strike,Electric,physical,130,85,5,May paralyze opponent.,20
Bone Club,Ground,physical,65,85,20,May cause flinching.,10
Bone Rush,Ground,physical,25,90,10,Hits 2-5 times in one turn.,—
Bonemerang,Ground,physical,50,90,10,Hits twice in one turn.,—
Boomburst,Normal,special,140,100,10,Hits all adjacent Pokémon.,—
Bounce,Flying,physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent.",30
Bouncy Bubble,Water,special,90,100,15,User recovers half the HP inflicted on opponent.,—
Branch Poke,Grass,physical,40,100,40,,—
Brave Bird,Flying,physical,120,100,15,User receives recoil damage.,—
Breaking Swipe,Dragon,physical,60,100,15,Hits multiple opponents and lowers their attack.,100
Breakneck Blitz,Normal,,—,—,1,Normal type Z-Move.,—
Brick Break,Fighting,physical,75,100,15,Breaks through Reflect and Light Screen barriers.,—
Brine,Water,special,65,100,10,Power doubles if opponent's HP is less than 50%.,—
Brutal Swing,Dark,physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.,—
Bubble,Water,special,40,100,30,May lower opponent's Speed.,10
Bubble Beam,Water,special,65,100,20,May lower opponent's Speed.,10
Bug Bite,Bug,physical,60,100,20,Receives the effect from the opponent's held berry.,—
Bug Buzz,Bug,special,90,100,10,May lower opponent's Special Defense.,10
Bulk Up,Fighting,status,—,—,20,Raises user's Attack and Defense.,—
Bulldoze,Ground,physical,60,100,20,Lowers opponent's Speed.,100
Bullet Punch,Steel,physical,40,100,30,User attacks first.,—
Bullet Seed,Grass,physical,25,100,30,Hits 2-5 times in one turn.,—
Burn Up,Fire,special,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",—
Burning Bulwark,Fire,status,—,∞,10,,—
Burning Jealousy,Fire,special,70,100,5,"Hits all opponents, and burns any that have had their stats boosted.",—
Buzzy Buzz,Electric,special,90,100,15,Paralyzes the opponent.,100
Calm Mind,Psychic,status,—,—,20,Raises user's Special Attack and Special Defense.,—
Camouflage,Normal,status,—,—,20,Changes user's type according to the location.,—
Captivate,Normal,status,—,100,20,Sharply lowers opponent's Special Attack if opposite gender.,—
Catastropika,Electric,physical,210,—,1,Pikachu-exclusive Z-Move.,—
Ceaseless Edge,Dark,physical,65,90,15,Sets up Spikes.,—
Celebrate,Normal,status,—,—,40,The Pokémon congratulates you on your special day. No battle effect.,—
Charge,Electric,status,—,—,20,Raises user's Special Defense and next Electric move's power increases.,—
Charge Beam,Electric,special,50,90,10,May raise user's Special Attack.,70
Charm,Fairy,status,—,100,20,Sharply lowers opponent's Attack.,—
Chatter,Flying,special,65,100,20,Confuses opponent.,100
Chilling Water,Water,special,50,100,20,Lowers opponent's Attack.,—
Chilly Reception,Ice,status,—,—,10,Switches out and summons a snowstorm lasting 5 turns.,—
Chip Away,Normal,physical,70,100,20,Ignores opponent's stat changes.,—
Chloroblast,Grass,special,150,95,5,User receives recoil damage.,—
Circle Throw,Fighting,physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Clamp,Water,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Clanging Scales,Dragon,special,110,100,5,Lowers user's Defense.,100
Clangorous Soul,Dragon,status,—,100,5,Raises all user's stats but loses HP.,100
Clangorous Soulblaze,Dragon,special,185,—,1,Kommo-o exclusive Z-Move.,—
Clear Smog,Poison,special,50,—,15,Removes all of the target's stat changes.,—
Close Combat,Fighting,physical,120,100,5,Lowers user's Defense and Special Defense.,100
Coaching,Fighting,status,—,—,10,Boosts Attack and Defense of a teammate.,—
Coil,Poison,status,—,—,20,"Raises user's Attack, Defense and Accuracy.",—
Collision Course,Fighting,physical,100,100,5,Boosted even more if it's super-effective.,—
Combat Torque,Fighting,physical,100,100,10,May paralyze the opponent.,—
Comet Punch,Normal,physical,18,85,15,Hits 2-5 times in one turn.,—
Comeuppance,Dark,physical,—,100,10,Deals more damage to the opponent that last inflicted damage on it.,—
Confide,Normal,status,—,—,20,Lowers opponent's Special Attack.,100
Confuse Ray,Ghost,status,—,100,10,Confuses opponent.,—
Confusion,Psychic,special,50,100,25,May confuse opponent.,10
Constrict,Normal,physical,10,100,35,May lower opponent's Speed by one stage.,10
Continental Crush,Rock,,—,—,1,Rock type Z-Move.,—
Conversion,Normal,status,—,—,30,Changes user's type to that of its first move.,—
Conversion 2,Normal,status,—,—,30,User changes type to become resistant to opponent's last move.,—
Copycat,Normal,status,—,—,20,Copies opponent's last move.,—
Core Enforcer,Dragon,special,100,100,10,Suppresses the target's ability if the target has already moved.,—
Corkscrew Crash,Steel,,—,—,1,Steel type Z-Move.,—
Corrosive Gas,Poison,status,—,100,40,Removes opponent's items.,—
Cosmic Power,Psychic,status,—,—,20,Raises user's Defense and Special Defense.,—
Cotton Guard,Grass,status,—,—,10,Drastically raises user's Defense.,—
Cotton Spore,Grass,status,—,100,40,Sharply lowers opponent's Speed.,—
Counter,Fighting,physical,—,100,20,"When hit by a Physical Attack, user strikes back with 2x power.",—
Court Change,Normal,status,—,100,10,Swaps the effects on either side of the field.,—
Covet,Normal,physical,60,100,25,Opponent's item is stolen by the user.,—
Crabhammer,Water,physical,100,90,10,High critical hit ratio.,—
Crafty Shield,Fairy,status,—,—,10,Protects the Pokémon from status moves.,—
Cross Chop,Fighting,physical,100,80,5,High critical hit ratio.,—
Cross Poison,Poison,physical,70,100,20,High critical hit ratio. May poison opponent.,10
Crunch,Dark,physical,80,100,15,May lower opponent's Defense.,20
Crush Claw,Normal,physical,75,95,10,May lower opponent's Defense.,50
Crush Grip,Normal,physical,—,100,5,More powerful when opponent has higher HP.,—
Curse,Ghost,status,—,—,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",—
Cut,Normal,physical,50,95,30,,—
Dark Pulse,Dark,special,80,100,15,May cause flinching.,20
Dark Void,Dark,status,—,50,10,Puts all adjacent opponents to sleep.,—
Darkest Lariat,Dark,physical,85,100,10,Ignores opponent's stat changes.,—
Dazzling Gleam,Fairy,special,80,100,10,Hits all adjacent opponents.,—
Decorate,Fairy,status,—,—,15,Sharply raises target's Attack and Special Attack.,100
Defend Order,Bug,status,—,—,10,Raises user's Defense and Special Defense.,—
Defense Curl,Normal,status,—,—,40,Raises user's Defense.,—
Defog,Flying,status,—,—,15,Lowers opponent's Evasiveness and clears fog.,—
Destiny Bond,Ghost,status,—,—,5,"If the user faints, the opponent also faints.",—
Detect,Fighting,status,—,—,5,"Protects the user, but may fail if used consecutively.",—
Devastating Drake,Dragon,,—,—,1,Dragon type Z-Move.,—
Diamond Storm,Rock,physical,100,95,5,May sharply raise user's Defense.,50
Dig,Ground,physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves.",—
Dire Claw,Poison,physical,80,100,15,"May poison, paralyze or put the opponent to sleep.",—
Disable,Normal,status,—,100,20,Opponent can't use its last attack for a few turns.,—
Disarming Voice,Fairy,special,40,∞,15,Ignores Accuracy and Evasiveness.,—
Discharge,Electric,special,80,100,15,May paralyze opponent.,30
Dive,Water,physical,80,100,10,"Dives underwater on first turn, attacks on second turn.",—
Dizzy Punch,Normal,physical,70,100,10,May confuse opponent.,20
Doodle,Normal,status,—,100,10,Changes the abilities of the user and its teammates to that of the target.,—
Doom Desire,Steel,special,140,100,5,Damage occurs 2 turns later.,—
Double Hit,Normal,physical,35,90,10,Hits twice in one turn.,—
Double Iron Bash,Steel,physical,60,100,5,Hits twice in one turn; may cause flinching.,30
Double Kick,Fighting,physical,30,100,30,Hits twice in one turn.,—
Double Shock,Electric,physical,120,100,5,"After using this move, the user will no longer be Electric type.",—
Double Slap,Normal,physical,15,85,10,Hits 2-5 times in one turn.,—
Double Team,Normal,status,—,—,15,Raises user's Evasiveness.,—
Double-Edge,Normal,physical,120,100,15,User receives recoil damage.,—
Draco Meteor,Dragon,special,130,90,5,Sharply lowers user's Special Attack.,100
Dragon Ascent,Flying,physical,120,100,5,Lowers user's Defense and Special Defense.,100
Dragon Breath,Dragon,special,60,100,20,May paralyze opponent.,30
Dragon Cheer,Dragon,status,—,∞,15,,—
Dragon Claw,Dragon,physical,80,100,15,,—
Dragon Dance,Dragon,status,—,—,20,Raises user's Attack and Speed.,—
Dragon Darts,Dragon,physical,50,100,10,User attacks twice.,—
Dragon Energy,Dragon,special,150,100,5,"The higher the user's HP, the higher the power.",—
Dragon Hammer,Dragon,physical,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.,—
Dragon Pulse,Dragon,special,85,100,10,,—
Dragon Rage,Dragon,special,—,100,10,Always inflicts 40 HP.,—
Dragon Rush,Dragon,physical,100,75,10,May cause flinching.,20
Dragon Tail,Dragon,physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Drain Punch,Fighting,physical,75,100,10,User recovers half the HP inflicted on opponent.,—
Draining Kiss,Fairy,special,50,100,10,User recovers most the HP inflicted on opponent.,—
Dream Eater,Psychic,special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.,—
Drill Peck,Flying,physical,80,100,20,,—
Drill Run,Ground,physical,80,95,10,High critical hit ratio.,—
Drum Beating,Grass,physical,80,100,10,Lowers opponent's Speed.,100
Dual Chop,Dragon,physical,40,90,15,Hits twice in one turn.,—
Dual Wingbeat,Flying,physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.,—
Dynamax Cannon,Dragon,special,100,100,5,Damage doubles if opponent is Dynamaxed.,—
Dynamic Punch,Fighting,physical,100,50,5,Confuses opponent.,100
Earth Power,Ground,special,90,100,10,May lower opponent's Special Defense.,10
Earthquake,Ground,physical,100,100,10,Power is doubled if opponent is underground from using Dig.,—
Echoed Voice,Normal,special,40,100,15,Power increases each turn.,—
Eerie Impulse,Electric,status,—,100,15,Sharply lowers opponent's Special Attack.,—
Eerie Spell,Psychic,special,80,100,5,Deals damage and reduces opponent's PP.,—
Egg Bomb,Normal,physical,100,75,10,,—
Electric Terrain,Electric,status,—,—,10,Prevents all Pokémon from falling asleep for 5 turns.,—
Electrify,Electric,status,—,—,20,Changes the target's move to Electric type.,—
Electro Ball,Electric,special,—,100,10,"The faster the user, the stronger the attack.",—
Electro Drift,Electric,special,100,100,5,Boosted even more if it's super-effective.,—
Electro Shot,Electric,special,130,100,10,"Charges on first turn, attacks on second.",—
Electroweb,Electric,special,55,95,15,Lowers opponent's Speed.,100
Embargo,Dark,status,—,100,15,Opponent cannot use items.,—
Ember,Fire,special,40,100,25,May burn opponent.,10
Encore,Normal,status,—,100,5,Forces opponent to keep using its last move for 3 turns.,—
Endeavor,Normal,physical,—,100,5,Reduces opponent's HP to same as user's.,—
Endure,Normal,status,—,—,10,"Always left with at least 1 HP, but may fail if used consecutively.",—
Energy Ball,Grass,special,90,100,10,May lower opponent's Special Defense.,10
Entrainment,Normal,status,—,100,15,Makes target's ability same as user's.,—
Eruption,Fire,special,150,100,5,Stronger when the user's HP is higher.,—
Esper Wing,Psychic,special,80,100,10,High critical hit ratio. Raises user's Speed.,—
Eternabeam,Dragon,special,160,90,5,User can't move on the next turn.,—
Expanding Force,Psychic,special,80,100,10,Increases power and hits all opponents on Psychic Terrain.,—
Explosion,Normal,physical,250,100,5,User faints.,—
Extrasensory,Psychic,special,80,100,20,May cause flinching.,10
Extreme Evoboost,Normal,status,—,—,1,Eevee-exclusive Z-Move. Sharply raises all stats.,100
Extreme Speed,Normal,physical,80,100,5,User attacks first.,—
Facade,Normal,physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed.",—
Fairy Lock,Fairy,status,—,—,10,Prevents fleeing in the next turn.,—
Fairy Wind,Fairy,special,40,100,30,,—
Fake Out,Normal,physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,Dark,status,—,100,20,Sharply lowers opponent's Special Defense.,—
False Surrender,Dark,physical,80,∞,10,Ignores Accuracy and Evasiveness.,—
False Swipe,Normal,physical,40,100,40,Always leaves opponent with at least 1 HP.,—
Feather Dance,Flying,status,—,100,15,Sharply lowers opponent's Attack.,—
Feint,Normal,physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.,—
Feint Attack,Dark,physical,60,∞,20,Ignores Accuracy and Evasiveness.,—
Fell Stinger,Bug,physical,50,100,25,Drastically raises user's Attack if target is KO'd.,—
Fickle Beam,Dragon,special,80,100,5,May deal double damage.,—
Fiery Dance,Fire,special,80,100,10,May raise user's Special Attack.,50
Fiery Wrath,Dark,special,90,100,10,May cause flinching.,20
Fillet Away,Normal,status,—,—,10,"Lowers HP but sharply boosts Attack, Special Attack, and Speed.",—
Final Gambit,Fighting,special,—,100,5,Inflicts damage equal to the user's remaining HP. User faints.,—
Fire Blast,Fire,special,110,85,5,May burn opponent.,10
Fire Fang,Fire,physical,65,95,15,May cause flinching and/or burn opponent.,10
Fire Lash,Fire,physical,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
Fire Pledge,Fire,special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.,—
Fire Punch,Fire,physical,75,100,15,May burn opponent.,10
Fire Spin,Fire,special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
First Impression,Bug,physical,90,100,10,"Although this move has great power, it only works the first turn the user is in battle.",—
Fishious Rend,Water,physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",—
Fissure,Ground,physical,—,30,5,"One-Hit-KO, if it hits.",—
Flail,Normal,physical,—,100,15,"The lower the user's HP, the higher the power.",—
Flame Burst,Fire,special,70,100,15,May also injure nearby Pokémon.,—
Flame Charge,Fire,physical,50,100,20,Raises user's Speed.,100
Flame Wheel,Fire,physical,60,100,25,May burn opponent.,10
Flamethrower,Fire,special,90,100,15,May burn opponent.,10
Flare Blitz,Fire,physical,120,100,15,User receives recoil damage. May burn opponent.,10
Flash,Normal,status,—,100,20,Lowers opponent's Accuracy.,—
Flash Cannon,Steel,special,80,100,10,May lower opponent's Special Defense.,10
Flatter,Dark,status,—,100,15,"Confuses opponent, but raises its Special Attack.",—
Fleur Cannon,Fairy,special,130,90,5,Sharply lowers user's Special Attack.,100
Fling,Dark,physical,—,100,10,Power depends on held item.,—
Flip Turn,Water,physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",—
Floaty Fall,Flying,physical,90,95,15,May cause flinching.,30
Floral Healing,Fairy,status,—,—,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,—
Flower Shield,Fairy,status,—,—,10,Sharply raises Defense of all Grass-type Pokémon on the field.,100
Flower Trick,Grass,physical,70,∞,10,Never misses; always results in a critical hit.,—
Fly,Flying,physical,90,95,15,"Flies up on first turn, attacks on second turn.",—
Flying Press,Fighting,physical,100,95,10,Deals Fighting and Flying type damage.,—
Focus Blast,Fighting,special,120,70,5,May lower opponent's Special Defense.,10
Focus Energy,Normal,status,—,—,30,Increases critical hit ratio.,—
Focus Punch,Fighting,physical,150,100,20,"If the user is hit before attacking, it flinches instead.",—
Follow Me,Normal,status,—,—,20,"In Double Battle, the user takes all the attacks.",—
Force Palm,Fighting,physical,60,100,10,May paralyze opponent.,30
Foresight,Normal,status,—,—,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.",—
Forest's Curse,Grass,status,—,100,20,Adds Grass type to opponent.,—
Foul Play,Dark,physical,95,100,15,Uses the opponent's Attack stat.,—
Freeze Shock,Ice,physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,Ice,special,70,100,20,May freeze opponent. Super-effective against Water types.,10
Freezing Glare,Psychic,special,90,100,10,May freeze opponent.,10
Freezy Frost,Ice,special,90,100,15,Resets all stat changes.,—
Frenzy Plant,Grass,special,150,90,5,User must recharge next turn.,—
Frost Breath,Ice,special,60,90,10,Always results in a critical hit.,100
Frustration,Normal,physical,—,100,20,Power decreases with higher Friendship.,—
Fury Attack,Normal,physical,15,85,20,Hits 2-5 times in one turn.,—
Fury Cutter,Bug,physical,40,95,20,Power increases each turn.,—
Fury Swipes,Normal,physical,18,80,15,Hits 2-5 times in one turn.,—
Fusion Bolt,Electric,physical,100,100,5,Power increases if Fusion Flare is used in the same turn.,—
Fusion Flare,Fire,special,100,100,5,Power increases if Fusion Bolt is used in the same turn.,—
Future Sight,Psychic,special,120,100,10,Damage occurs 2 turns later.,—
G-Max Befuddle,Bug,,—,∞,5,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100
G-Max Cannonade,Water,,—,∞,10,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,—
G-Max Centiferno,Fire,,—,∞,5,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Chi Strike,Fighting,,—,∞,5,Machamp-exclusive G-Max Move. Increases critical hit ratio.,—
G-Max Cuddle,Normal,,—,∞,5,Eevee-exclusive G-Max Move. Infatuates opponents.,100
G-Max Depletion,Dragon,,—,∞,5,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,—
G-Max Drum Solo,Grass,,160,∞,5,Rillaboom-exclusive G-Max Move. Ignores target's ability.,—
G-Max Finale,Fairy,,—,∞,5,Alcremie-exclusive G-Max Move. Heals the user's team.,—
G-Max Fireball,Fire,,160,∞,5,Cinderace-exclusive G-Max Move. Ignores target's ability.,—
G-Max Foam Burst,Water,,—,∞,5,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100
G-Max Gold Rush,Normal,,—,∞,5,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100
G-Max Gravitas,Psychic,,—,∞,5,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,—
G-Max Hydrosnipe,Water,,160,∞,5,Inteleon-exclusive G-Max Move. Ignores target's ability.,—
G-Max Malodor,Poison,,—,∞,5,Garbodor-exclusive G-Max Move. Poisons opponents.,100
G-Max Meltdown,Steel,,—,∞,5,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,—
G-Max One Blow,Dark,,—,∞,5,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,—
G-Max Rapid Flow,Water,,—,∞,5,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,—
G-Max Replenish,Normal,,—,∞,5,Snorlax-exclusive G-Max Move. Recycles Berries.,—
G-Max Resonance,Ice,,—,∞,5,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,—
G-Max Sandblast,Ground,,—,∞,5,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,Fairy,,—,∞,5,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,Dark,,—,∞,5,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,—
G-Max Steelsurge,Steel,,—,∞,5,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,—
G-Max Stonesurge,Water,,—,∞,5,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,—
G-Max Stun Shock,Electric,,—,∞,10,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,Grass,,—,∞,10,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,—
G-Max Tartness,Grass,,—,∞,10,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,Ghost,,—,∞,10,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,—
G-Max Vine Lash,Grass,,—,∞,10,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,—
G-Max Volcalith,Rock,,—,∞,10,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,Electric,,—,∞,10,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,Fire,,—,∞,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,Flying,,—,∞,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,—
Gastro Acid,Poison,status,—,100,10,Cancels out the effect of the opponent's Ability.,—
Gear Grind,Steel,physical,50,85,15,Hits twice in one turn.,—
Gear Up,Steel,status,—,—,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,—
Genesis Supernova,Psychic,special,185,—,1,Mew-exclusive Z-Move.,—
Geomancy,Fairy,status,—,—,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",—
Giga Drain,Grass,special,75,100,10,User recovers half the HP inflicted on opponent.,—
Giga Impact,Normal,physical,150,90,5,User must recharge next turn.,—
Gigaton Hammer,Steel,physical,160,100,5,Cannot be used twice in a row.,—
Gigavolt Havoc,Electric,,—,—,1,Electric type Z-Move.,—
Glacial Lance,Ice,physical,120,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,—
Glaciate,Ice,special,65,95,10,Lowers opponent's Speed.,100
Glaive Rush,Dragon,physical,120,100,5,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,—
Glare,Normal,status,—,100,30,Paralyzes opponent.,—
Glitzy Glow,Psychic,special,90,100,15,Reduces damage from Special attacks.,—
Grass Knot,Grass,special,—,100,20,"The heavier the opponent, the stronger the attack.",—
Grass Pledge,Grass,special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,—
Grass Whistle,Grass,status,—,55,15,Puts opponent to sleep.,—
Grassy Glide,Grass,physical,55,100,20,High priority during Grassy Terrain.,—
Grassy Terrain,Grass,status,—,—,10,Restores a little HP of all Pokémon for 5 turns. ,—
Grav Apple,Grass,physical,80,100,10,Lowers the opponent's Defense stat.,100
Gravity,Psychic,status,—,—,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,—
Growl,Normal,status,—,100,40,Lowers opponent's Attack.,—
Growth,Normal,status,—,—,20,Raises user's Attack and Special Attack.,—
Grudge,Ghost,status,—,—,5,"If the users faints after using this move, the PP for the opponent's last move is depleted.",—
Guard Split,Psychic,status,—,—,10,Averages Defense and Special Defense with the target.,—
Guard Swap,Psychic,status,—,—,10,User and opponent swap Defense and Special Defense.,—
