name,nationalDexNum,types,stats
Raichu,26,['Electric'],"{'HP': '60', 'Attack': '90', 'Defense': '55', 'Sp. Atk': '90', 'Sp. Def': '80', 'Speed': '110', 'Total': '485'}"
Sandshrew,27,['Ground'],"{'HP': '50', 'Attack': '75', 'Defense': '85', 'Sp. Atk': '20', 'Sp. Def': '30', 'Speed': '40', 'Total': '300'}"
Sandslash,28,['Ground'],"{'HP': '75', 'Attack': '100', 'Defense': '110', 'Sp. Atk': '45', 'Sp. Def': '55', 'Speed': '65', 'Total': '450'}"
Nidoran♀ (female),29,['Poison'],"{'HP': '55', 'Attack': '47', 'Defense': '52', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '41', 'Total': '275'}"
Nidorina,30,['Poison'],"{'HP': '70', 'Attack': '62', 'Defense': '67', 'Sp. Atk': '55', 'Sp. Def': '55', 'Speed': '56', 'Total': '365'}"
Nidoqueen,31,"['Poison', 'Ground']","{'HP': '90', 'Attack': '92', 'Defense': '87', 'Sp. Atk': '75', 'Sp. Def': '85', 'Speed': '76', 'Total': '505'}"
Nidoran♂ (male),32,['Poison'],"{'HP': '46', 'Attack': '57', 'Defense': '40', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '50', 'Total': '273'}"
Nidorino,33,['Poison'],"{'HP': '61', 'Attack': '72', 'Defense': '57', 'Sp. Atk': '55', 'Sp. Def': '55', 'Speed': '65', 'Total': '365'}"
Nidoking,34,"['Poison', 'Ground']","{'HP': '81', 'Attack': '102', 'Defense': '77', 'Sp. Atk': '85', 'Sp. Def': '75', 'Speed': '85', 'Total': '505'}"
Clefairy,35,['Fairy'],"{'HP': '70', 'Attack': '45', 'Defense': '48', 'Sp. Atk': '60', 'Sp. Def': '65', 'Speed': '35', 'Total': '323'}"
Clefable,36,['Fairy'],"{'HP': '95', 'Attack': '70', 'Defense': '73', 'Sp. Atk': '95', 'Sp. Def': '90', 'Speed': '60', 'Total': '483'}"
Vulpix,37,['Fire'],"{'HP': '38', 'Attack': '41', 'Defense': '40', 'Sp. Atk': '50', 'Sp. Def': '65', 'Speed': '65', 'Total': '299'}"
Ninetales,38,['Fire'],"{'HP': '73', 'Attack': '76', 'Defense': '75', 'Sp. Atk': '81', 'Sp. Def': '100', 'Speed': '100', 'Total': '505'}"
Jigglypuff,39,"['Normal', 'Fairy']","{'HP': '115', 'Attack': '45', 'Defense': '20', 'Sp. Atk': '45', 'Sp. Def': '25', 'Speed': '20', 'Total': '270'}"
Wigglytuff,40,"['Normal', 'Fairy']","{'HP': '140', 'Attack': '70', 'Defense': '45', 'Sp. Atk': '85', 'Sp. Def': '50', 'Speed': '45', 'Total': '435'}"
Zubat,41,"['Poison', 'Flying']","{'HP': '40', 'Attack': '45', 'Defense': '35', 'Sp. Atk': '30', 'Sp. Def': '40', 'Speed': '55', 'Total': '245'}"
Golbat,42,"['Poison', 'Flying']","{'HP': '75', 'Attack': '80', 'Defense': '70', 'Sp. Atk': '65', 'Sp. Def': '75', 'Speed': '90', 'Total': '455'}"
Oddish,43,"['Grass', 'Poison']","{'HP': '45', 'Attack': '50', 'Defense': '55', 'Sp. Atk': '75', 'Sp. Def': '65', 'Speed': '30', 'Total': '320'}"
Gloom,44,"['Grass', 'Poison']","{'HP': '60', 'Attack': '65', 'Defense': '70', 'Sp. Atk': '85', 'Sp. Def': '75', 'Speed': '40', 'Total': '395'}"
Vileplume,45,"['Grass', 'Poison']","{'HP': '75', 'Attack': '80', 'Defense': '85', 'Sp. Atk': '110', 'Sp. Def': '90', 'Speed': '50', 'Total': '490'}"
Paras,46,"['Bug', 'Grass']","{'HP': '35', 'Attack': '70', 'Defense': '55', 'Sp. Atk': '45', 'Sp. Def': '55', 'Speed': '25', 'Total': '285'}"
Parasect,47,"['Bug', 'Grass']","{'HP': '60', 'Attack': '95', 'Defense': '80', 'Sp. Atk': '60', 'Sp. Def': '80', 'Speed': '30', 'Total': '405'}"
Venonat,48,"['Bug', 'Poison']","{'HP': '60', 'Attack': '55', 'Defense': '50', 'Sp. Atk': '40', 'Sp. Def': '55', 'Speed': '45', 'Total': '305'}"
Venomoth,49,"['Bug', 'Poison']","{'HP': '70', 'Attack': '65', 'Defense': '60', 'Sp. Atk': '90', 'Sp. Def': '75', 'Speed': '90', 'Total': '450'}"
Diglett,50,['Ground'],"{'HP': '10', 'Attack': '55', 'Defense': '25', 'Sp. Atk': '35', 'Sp. Def': '45', 'Speed': '95', 'Total': '265'}"
Dugtrio,51,['Ground'],"{'HP': '35', 'Attack': '100', 'Defense': '50', 'Sp. Atk': '50', 'Sp. Def': '70', 'Speed': '120', 'Total': '425'}"
Meowth,52,['Normal'],"{'HP': '40', 'Attack': '45', 'Defense': '35', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '90', 'Total': '290'}"
Persian,53,['Normal'],"{'HP': '65', 'Attack': '70', 'Defense': '60', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '115', 'Total': '440'}"
Psyduck,54,['Water'],"{'HP': '50', 'Attack': '52', 'Defense': '48', 'Sp. Atk': '65', 'Sp. Def': '50', 'Speed': '55', 'Total': '320'}"
Golduck,55,['Water'],"{'HP': '80', 'Attack': '82', 'Defense': '78', 'Sp. Atk': '95', 'Sp. Def': '80', 'Speed': '85', 'Total': '500'}"
Mankey,56,['Fighting'],"{'HP': '40', 'Attack': '80', 'Defense': '35', 'Sp. Atk': '35', 'Sp. Def': '45', 'Speed': '70', 'Total': '305'}"
Primeape,57,['Fighting'],"{'HP': '65', 'Attack': '105', 'Defense': '60', 'Sp. Atk': '60', 'Sp. Def': '70', 'Speed': '95', 'Total': '455'}"
Growlithe,58,['Fire'],"{'HP': '55', 'Attack': '70', 'Defense': '45', 'Sp. Atk': '70', 'Sp. Def': '50', 'Speed': '60', 'Total': '350'}"
Arcanine,59,['Fire'],"{'HP': '90', 'Attack': '110', 'Defense': '80', 'Sp. Atk': '100', 'Sp. Def': '80', 'Speed': '95', 'Total': '555'}"
Poliwag,60,['Water'],"{'HP': '40', 'Attack': '50', 'Defense': '40', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '90', 'Total': '300'}"
Poliwhirl,61,['Water'],"{'HP': '65', 'Attack': '65', 'Defense': '65', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '90', 'Total': '385'}"
Poliwrath,62,"['Water', 'Fighting']","{'HP': '90', 'Attack': '95', 'Defense': '95', 'Sp. Atk': '70', 'Sp. Def': '90', 'Speed': '70', 'Total': '510'}"
Abra,63,['Psychic'],"{'HP': '25', 'Attack': '20', 'Defense': '15', 'Sp. Atk': '105', 'Sp. Def': '55', 'Speed': '90', 'Total': '310'}"
Kadabra,64,['Psychic'],"{'HP': '40', 'Attack': '35', 'Defense': '30', 'Sp. Atk': '120', 'Sp. Def': '70', 'Speed': '105', 'Total': '400'}"
Alakazam,65,['Psychic'],"{'HP': '55', 'Attack': '50', 'Defense': '45', 'Sp. Atk': '135', 'Sp. Def': '95', 'Speed': '120', 'Total': '500'}"
Machop,66,['Fighting'],"{'HP': '70', 'Attack': '80', 'Defense': '50', 'Sp. Atk': '35', 'Sp. Def': '35', 'Speed': '35', 'Total': '305'}"
Machoke,67,['Fighting'],"{'HP': '80', 'Attack': '100', 'Defense': '70', 'Sp. Atk': '50', 'Sp. Def': '60', 'Speed': '45', 'Total': '405'}"
Machamp,68,['Fighting'],"{'HP': '90', 'Attack': '130', 'Defense': '80', 'Sp. Atk': '65', 'Sp. Def': '85', 'Speed': '55', 'Total': '505'}"
Bellsprout,69,"['Grass', 'Poison']","{'HP': '50', 'Attack': '75', 'Defense': '35', 'Sp. Atk': '70', 'Sp. Def': '30', 'Speed': '40', 'Total': '300'}"
Weepinbell,70,"['Grass', 'Poison']","{'HP': '65', 'Attack': '90', 'Defense': '50', 'Sp. Atk': '85', 'Sp. Def': '45', 'Speed': '55', 'Total': '390'}"
Victreebel,71,"['Grass', 'Poison']","{'HP': '80', 'Attack': '105', 'Defense': '65', 'Sp. Atk': '100', 'Sp. Def': '70', 'Speed': '70', 'Total': '490'}"
Tentacool,72,"['Water', 'Poison']","{'HP': '40', 'Attack': '40', 'Defense': '35', 'Sp. Atk': '50', 'Sp. Def': '100', 'Speed': '70', 'Total': '335'}"
Tentacruel,73,"['Water', 'Poison']","{'HP': '80', 'Attack': '70', 'Defense': '65', 'Sp. Atk': '80', 'Sp. Def': '120', 'Speed': '100', 'Total': '515'}"
Geodude,74,"['Rock', 'Ground']","{'HP': '40', 'Attack': '80', 'Defense': '100', 'Sp. Atk': '30', 'Sp. Def': '30', 'Speed': '20', 'Total': '300'}"
Graveler,75,"['Rock', 'Ground']","{'HP': '55', 'Attack': '95', 'Defense': '115', 'Sp. Atk': '45', 'Sp. Def': '45', 'Speed': '35', 'Total': '390'}"
Golem,76,"['Rock', 'Ground']","{'HP': '80', 'Attack': '120', 'Defense': '130', 'Sp. Atk': '55', 'Sp. Def': '65', 'Speed': '45', 'Total': '495'}"
Ponyta,77,['Fire'],"{'HP': '50', 'Attack': '85', 'Defense': '55', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '90', 'Total': '410'}"
Rapidash,78,['Fire'],"{'HP': '65', 'Attack': '100', 'Defense': '70', 'Sp. Atk': '80', 'Sp. Def': '80', 'Speed': '105', 'Total': '500'}"
Slowpoke,79,"['Water', 'Psychic']","{'HP': '90', 'Attack': '65', 'Defense': '65', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '15', 'Total': '315'}"
Slowbro,80,"['Water', 'Psychic']","{'HP': '95', 'Attack': '75', 'Defense': '110', 'Sp. Atk': '100', 'Sp. Def': '80', 'Speed': '30', 'Total': '490'}"
Magnemite,81,"['Electric', 'Steel']","{'HP': '25', 'Attack': '35', 'Defense': '70', 'Sp. Atk': '95', 'Sp. Def': '55', 'Speed': '45', 'Total': '325'}"
Magneton,82,"['Electric', 'Steel']","{'HP': '50', 'Attack': '60', 'Defense': '95', 'Sp. Atk': '120', 'Sp. Def': '70', 'Speed': '70', 'Total': '465'}"
Farfetch'd,83,"['Normal', 'Flying']","{'HP': '52', 'Attack': '90', 'Defense': '55', 'Sp. Atk': '58', 'Sp. Def': '62', 'Speed': '60', 'Total': '377'}"
Doduo,84,"['Normal', 'Flying']","{'HP': '35', 'Attack': '85', 'Defense': '45', 'Sp. Atk': '35', 'Sp. Def': '35', 'Speed': '75', 'Total': '310'}"
Dodrio,85,"['Normal', 'Flying']","{'HP': '60', 'Attack': '110', 'Defense': '70', 'Sp. Atk': '60', 'Sp. Def': '60', 'Speed': '110', 'Total': '470'}"
Seel,86,['Water'],"{'HP': '65', 'Attack': '45', 'Defense': '55', 'Sp. Atk': '45', 'Sp. Def': '70', 'Speed': '45', 'Total': '325'}"
Dewgong,87,"['Water', 'Ice']","{'HP': '90', 'Attack': '70', 'Defense': '80', 'Sp. Atk': '70', 'Sp. Def': '95', 'Speed': '70', 'Total': '475'}"
Grimer,88,['Poison'],"{'HP': '80', 'Attack': '80', 'Defense': '50', 'Sp. Atk': '40', 'Sp. Def': '50', 'Speed': '25', 'Total': '325'}"
Muk,89,['Poison'],"{'HP': '105', 'Attack': '105', 'Defense': '75', 'Sp. Atk': '65', 'Sp. Def': '100', 'Speed': '50', 'Total': '500'}"
Shellder,90,['Water'],"{'HP': '30', 'Attack': '65', 'Defense': '100', 'Sp. Atk': '45', 'Sp. Def': '25', 'Speed': '40', 'Total': '305'}"
Cloyster,91,"['Water', 'Ice']","{'HP': '50', 'Attack': '95', 'Defense': '180', 'Sp. Atk': '85', 'Sp. Def': '45', 'Speed': '70', 'Total': '525'}"
Gastly,92,"['Ghost', 'Poison']","{'HP': '30', 'Attack': '35', 'Defense': '30', 'Sp. Atk': '100', 'Sp. Def': '35', 'Speed': '80', 'Total': '310'}"
Haunter,93,"['Ghost', 'Poison']","{'HP': '45', 'Attack': '50', 'Defense': '45', 'Sp. Atk': '115', 'Sp. Def': '55', 'Speed': '95', 'Total': '405'}"
Gengar,94,"['Ghost', 'Poison']","{'HP': '60', 'Attack': '65', 'Defense': '60', 'Sp. Atk': '130', 'Sp. Def': '75', 'Speed': '110', 'Total': '500'}"
Onix,95,"['Rock', 'Ground']","{'HP': '35', 'Attack': '45', 'Defense': '160', 'Sp. Atk': '30', 'Sp. Def': '45', 'Speed': '70', 'Total': '385'}"
Drowzee,96,['Psychic'],"{'HP': '60', 'Attack': '48', 'Defense': '45', 'Sp. Atk': '43', 'Sp. Def': '90', 'Speed': '42', 'Total': '328'}"
Hypno,97,['Psychic'],"{'HP': '85', 'Attack': '73', 'Defense': '70', 'Sp. Atk': '73', 'Sp. Def': '115', 'Speed': '67', 'Total': '483'}"
Krabby,98,['Water'],"{'HP': '30', 'Attack': '105', 'Defense': '90', 'Sp. Atk': '25', 'Sp. Def': '25', 'Speed': '50', 'Total': '325'}"
Kingler,99,['Water'],"{'HP': '55', 'Attack': '130', 'Defense': '115', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '75', 'Total': '475'}"
Voltorb,100,['Electric'],"{'HP': '40', 'Attack': '30', 'Defense': '50', 'Sp. Atk': '55', 'Sp. Def': '55', 'Speed': '100', 'Total': '330'}"
Electrode,101,['Electric'],"{'HP': '60', 'Attack': '50', 'Defense': '70', 'Sp. Atk': '80', 'Sp. Def': '80', 'Speed': '150', 'Total': '490'}"
Exeggcute,102,"['Grass', 'Psychic']","{'HP': '60', 'Attack': '40', 'Defense': '80', 'Sp. Atk': '60', 'Sp. Def': '45', 'Speed': '40', 'Total': '325'}"
Exeggutor,103,"['Grass', 'Psychic']","{'HP': '95', 'Attack': '95', 'Defense': '85', 'Sp. Atk': '125', 'Sp. Def': '75', 'Speed': '55', 'Total': '530'}"
Cubone,104,['Ground'],"{'HP': '50', 'Attack': '50', 'Defense': '95', 'Sp. Atk': '40', 'Sp. Def': '50', 'Speed': '35', 'Total': '320'}"
Marowak,105,['Ground'],"{'HP': '60', 'Attack': '80', 'Defense': '110', 'Sp. Atk': '50', 'Sp. Def': '80', 'Speed': '45', 'Total': '425'}"
Hitmonlee,106,['Fighting'],"{'HP': '50', 'Attack': '120', 'Defense': '53', 'Sp. Atk': '35', 'Sp. Def': '110', 'Speed': '87', 'Total': '455'}"
Hitmonchan,107,['Fighting'],"{'HP': '50', 'Attack': '105', 'Defense': '79', 'Sp. Atk': '35', 'Sp. Def': '110', 'Speed': '76', 'Total': '455'}"
Lickitung,108,['Normal'],"{'HP': '90', 'Attack': '55', 'Defense': '75', 'Sp. Atk': '60', 'Sp. Def': '75', 'Speed': '30', 'Total': '385'}"
Koffing,109,['Poison'],"{'HP': '40', 'Attack': '65', 'Defense': '95', 'Sp. Atk': '60', 'Sp. Def': '45', 'Speed': '35', 'Total': '340'}"
Weezing,110,['Poison'],"{'HP': '65', 'Attack': '90', 'Defense': '120', 'Sp. Atk': '85', 'Sp. Def': '70', 'Speed': '60', 'Total': '490'}"
Rhyhorn,111,"['Ground', 'Rock']","{'HP': '80', 'Attack': '85', 'Defense': '95', 'Sp. Atk': '30', 'Sp. Def': '30', 'Speed': '25', 'Total': '345'}"
Rhydon,112,"['Ground', 'Rock']","{'HP': '105', 'Attack': '130', 'Defense': '120', 'Sp. Atk': '45', 'Sp. Def': '45', 'Speed': '40', 'Total': '485'}"
Chansey,113,['Normal'],"{'HP': '250', 'Attack': '5', 'Defense': '5', 'Sp. Atk': '35', 'Sp. Def': '105', 'Speed': '50', 'Total': '450'}"
Tangela,114,['Grass'],"{'HP': '65', 'Attack': '55', 'Defense': '115', 'Sp. Atk': '100', 'Sp. Def': '40', 'Speed': '60', 'Total': '435'}"
Kangaskhan,115,['Normal'],"{'HP': '105', 'Attack': '95', 'Defense': '80', 'Sp. Atk': '40', 'Sp. Def': '80', 'Speed': '90', 'Total': '490'}"
Horsea,116,['Water'],"{'HP': '30', 'Attack': '40', 'Defense': '70', 'Sp. Atk': '70', 'Sp. Def': '25', 'Speed': '60', 'Total': '295'}"
Seadra,117,['Water'],"{'HP': '55', 'Attack': '65', 'Defense': '95', 'Sp. Atk': '95', 'Sp. Def': '45', 'Speed': '85', 'Total': '440'}"
Goldeen,118,['Water'],"{'HP': '45', 'Attack': '67', 'Defense': '60', 'Sp. Atk': '35', 'Sp. Def': '50', 'Speed': '63', 'Total': '320'}"
Seaking,119,['Water'],"{'HP': '80', 'Attack': '92', 'Defense': '65', 'Sp. Atk': '65', 'Sp. Def': '80', 'Speed': '68', 'Total': '450'}"
Staryu,120,['Water'],"{'HP': '30', 'Attack': '45', 'Defense': '55', 'Sp. Atk': '70', 'Sp. Def': '55', 'Speed': '85', 'Total': '340'}"
Starmie,121,"['Water', 'Psychic']","{'HP': '60', 'Attack': '75', 'Defense': '85', 'Sp. Atk': '100', 'Sp. Def': '85', 'Speed': '115', 'Total': '520'}"
Mr. Mime,122,"['Psychic', 'Fairy']","{'HP': '40', 'Attack': '45', 'Defense': '65', 'Sp. Atk': '100', 'Sp. Def': '120', 'Speed': '90', 'Total': '460'}"
Scyther,123,"['Bug', 'Flying']","{'HP': '70', 'Attack': '110', 'Defense': '80', 'Sp. Atk': '55', 'Sp. Def': '80', 'Speed': '105', 'Total': '500'}"
Jynx,124,"['Ice', 'Psychic']","{'HP': '65', 'Attack': '50', 'Defense': '35', 'Sp. Atk': '115', 'Sp. Def': '95', 'Speed': '95', 'Total': '455'}"
Electabuzz,125,['Electric'],"{'HP': '65', 'Attack': '83', 'Defense': '57', 'Sp. Atk': '95', 'Sp. Def': '85', 'Speed': '105', 'Total': '490'}"
Magmar,126,['Fire'],"{'HP': '65', 'Attack': '95', 'Defense': '57', 'Sp. Atk': '100', 'Sp. Def': '85', 'Speed': '93', 'Total': '495'}"
Pinsir,127,['Bug'],"{'HP': '65', 'Attack': '125', 'Defense': '100', 'Sp. Atk': '55', 'Sp. Def': '70', 'Speed': '85', 'Total': '500'}"
Tauros,128,['Normal'],"{'HP': '75', 'Attack': '100', 'Defense': '95', 'Sp. Atk': '40', 'Sp. Def': '70', 'Speed': '110', 'Total': '490'}"
Magikarp,129,['Water'],"{'HP': '20', 'Attack': '10', 'Defense': '55', 'Sp. Atk': '15', 'Sp. Def': '20', 'Speed': '80', 'Total': '200'}"
Gyarados,130,"['Water', 'Flying']","{'HP': '95', 'Attack': '125', 'Defense': '79', 'Sp. Atk': '60', 'Sp. Def': '100', 'Speed': '81', 'Total': '540'}"
Lapras,131,"['Water', 'Ice']","{'HP': '130', 'Attack': '85', 'Defense': '80', 'Sp. Atk': '85', 'Sp. Def': '95', 'Speed': '60', 'Total': '535'}"
Ditto,132,['Normal'],"{'HP': '48', 'Attack': '48', 'Defense': '48', 'Sp. Atk': '48', 'Sp. Def': '48', 'Speed': '48', 'Total': '288'}"
Eevee,133,['Normal'],"{'HP': '55', 'Attack': '55', 'Defense': '50', 'Sp. Atk': '45', 'Sp. Def': '65', 'Speed': '55', 'Total': '325'}"
Vaporeon,134,['Water'],"{'HP': '130', 'Attack': '65', 'Defense': '60', 'Sp. Atk': '110', 'Sp. Def': '95', 'Speed': '65', 'Total': '525'}"
Jolteon,135,['Electric'],"{'HP': '65', 'Attack': '65', 'Defense': '60', 'Sp. Atk': '110', 'Sp. Def': '95', 'Speed': '130', 'Total': '525'}"
Flareon,136,['Fire'],"{'HP': '65', 'Attack': '130', 'Defense': '60', 'Sp. Atk': '95', 'Sp. Def': '110', 'Speed': '65', 'Total': '525'}"
Porygon,137,['Normal'],"{'HP': '65', 'Attack': '60', 'Defense': '70', 'Sp. Atk': '85', 'Sp. Def': '75', 'Speed': '40', 'Total': '395'}"
Omanyte,138,"['Rock', 'Water']","{'HP': '35', 'Attack': '40', 'Defense': '100', 'Sp. Atk': '90', 'Sp. Def': '55', 'Speed': '35', 'Total': '355'}"
Omastar,139,"['Rock', 'Water']","{'HP': '70', 'Attack': '60', 'Defense': '125', 'Sp. Atk': '115', 'Sp. Def': '70', 'Speed': '55', 'Total': '495'}"
Kabuto,140,"['Rock', 'Water']","{'HP': '30', 'Attack': '80', 'Defense': '90', 'Sp. Atk': '55', 'Sp. Def': '45', 'Speed': '55', 'Total': '355'}"
Kabutops,141,"['Rock', 'Water']","{'HP': '60', 'Attack': '115', 'Defense': '105', 'Sp. Atk': '65', 'Sp. Def': '70', 'Speed': '80', 'Total': '495'}"
Aerodactyl,142,"['Rock', 'Flying']","{'HP': '80', 'Attack': '105', 'Defense': '65', 'Sp. Atk': '60', 'Sp. Def': '75', 'Speed': '130', 'Total': '515'}"
Snorlax,143,['Normal'],"{'HP': '160', 'Attack': '110', 'Defense': '65', 'Sp. Atk': '65', 'Sp. Def': '110', 'Speed': '30', 'Total': '540'}"
Articuno,144,"['Ice', 'Flying']","{'HP': '90', 'Attack': '85', 'Defense': '100', 'Sp. Atk': '95', 'Sp. Def': '125', 'Speed': '85', 'Total': '580'}"
Zapdos,145,"['Electric', 'Flying']","{'HP': '90', 'Attack': '90', 'Defense': '85', 'Sp. Atk': '125', 'Sp. Def': '90', 'Speed': '100', 'Total': '580'}"
Moltres,146,"['Fire', 'Flying']","{'HP': '90', 'Attack': '100', 'Defense': '90', 'Sp. Atk': '125', 'Sp. Def': '85', 'Speed': '90', 'Total': '580'}"
Dratini,147,['Dragon'],"{'HP': '41', 'Attack': '64', 'Defense': '45', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '50', 'Total': '300'}"
Dragonair,148,['Dragon'],"{'HP': '61', 'Attack': '84', 'Defense': '65', 'Sp. Atk': '70', 'Sp. Def': '70', 'Speed': '70', 'Total': '420'}"
Dragonite,149,"['Dragon', 'Flying']","{'HP': '91', 'Attack': '134', 'Defense': '95', 'Sp. Atk': '100', 'Sp. Def': '100', 'Speed': '80', 'Total': '600'}"
Mewtwo,150,['Psychic'],"{'HP': '106', 'Attack': '110', 'Defense': '90', 'Sp. Atk': '154', 'Sp. Def': '90', 'Speed': '130', 'Total': '680'}"
Mew,151,['Psychic'],"{'HP': '100', 'Attack': '100', 'Defense': '100', 'Sp. Atk': '100', 'Sp. Def': '100', 'Speed': '100', 'Total': '600'}"
Chikorita,152,['Grass'],"{'HP': '45', 'Attack': '49', 'Defense': '65', 'Sp. Atk': '49', 'Sp. Def': '65', 'Speed': '45', 'Total': '318'}"
Bayleef,153,['Grass'],"{'HP': '60', 'Attack': '62', 'Defense': '80', 'Sp. Atk': '63', 'Sp. Def': '80', 'Speed': '60', 'Total': '405'}"
Meganium,154,['Grass'],"{'HP': '80', 'Attack': '82', 'Defense': '100', 'Sp. Atk': '83', 'Sp. Def': '100', 'Speed': '80', 'Total': '525'}"
Cyndaquil,155,['Fire'],"{'HP': '39', 'Attack': '52', 'Defense': '43', 'Sp. Atk': '60', 'Sp. Def': '50', 'Speed': '65', 'Total': '309'}"
Quilava,156,['Fire'],"{'HP': '58', 'Attack': '64', 'Defense': '58', 'Sp. Atk': '80', 'Sp. Def': '65', 'Speed': '80', 'Total': '405'}"
Typhlosion,157,['Fire'],"{'HP': '78', 'Attack': '84', 'Defense': '78', 'Sp. Atk': '109', 'Sp. Def': '85', 'Speed': '100', 'Total': '534'}"
Totodile,158,['Water'],"{'HP': '50', 'Attack': '65', 'Defense': '64', 'Sp. Atk': '44', 'Sp. Def': '48', 'Speed': '43', 'Total': '314'}"
